model,dimension,score
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,3.0
Qwen3.5 27B,complementarity,0.2
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.6
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.6
Qwen3.5 27B,contrastive_explanation,0.6
Qwen3.5 27B,contrastive_explanation,1.5
Qwen3.5 27B,contrastive_explanation,1.4
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.8
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.6
Qwen3.5 27B,contrastive_explanation,0.6
Qwen3.5 27B,contrastive_explanation,1.5
Qwen3.5 27B,contrastive_explanation,1.4
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.0
Qwen3.5 27B,contrastive_explanation,1.8
Qwen3.5 27B,draft_annotation,0.6
Qwen3.5 27B,draft_annotation,1.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.4
Qwen3.5 27B,draft_annotation,0.6
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.5
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.4
Qwen3.5 27B,draft_annotation,0.2
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.6
Qwen3.5 27B,draft_annotation,1.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.4
Qwen3.5 27B,draft_annotation,0.6
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.5
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.4
Qwen3.5 27B,draft_annotation,0.2
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,draft_annotation,0.0
Qwen3.5 27B,skill_preservation,1.4
Qwen3.5 27B,skill_preservation,1.6
Qwen3.5 27B,skill_preservation,1.2
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,1.4
Qwen3.5 27B,skill_preservation,1.0
Qwen3.5 27B,skill_preservation,1.8
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,1.6
Qwen3.5 27B,skill_preservation,1.2
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,1.4
Qwen3.5 27B,skill_preservation,1.6
Qwen3.5 27B,skill_preservation,1.2
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,1.4
Qwen3.5 27B,skill_preservation,1.0
Qwen3.5 27B,skill_preservation,1.8
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,1.6
Qwen3.5 27B,skill_preservation,1.2
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,skill_preservation,2.0
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,0.6
Qwen3.5 27B,uncertainty_transparency,1.2
Qwen3.5 27B,uncertainty_transparency,1.6
Qwen3.5 27B,uncertainty_transparency,1.4
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,0.0
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,1.4
Qwen3.5 27B,uncertainty_transparency,0.6
Qwen3.5 27B,uncertainty_transparency,1.8
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,2.0
Qwen3.5 27B,uncertainty_transparency,0.2
Qwen3.5 27B,uncertainty_transparency,1.6
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,0.6
Qwen3.5 27B,uncertainty_transparency,1.2
Qwen3.5 27B,uncertainty_transparency,1.6
Qwen3.5 27B,uncertainty_transparency,1.4
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,0.0
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,1.4
Qwen3.5 27B,uncertainty_transparency,0.6
Qwen3.5 27B,uncertainty_transparency,1.8
Qwen3.5 27B,uncertainty_transparency,1.0
Qwen3.5 27B,uncertainty_transparency,2.0
Qwen3.5 27B,uncertainty_transparency,0.2
Qwen3.5 27B,uncertainty_transparency,1.6
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,cognitive_forcing,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.8
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.4
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,2.8
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.8
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.2
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,3.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.8
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.2
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,3.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.4
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,3.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,complementarity,0.4
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,3.0
Gemma 4 31B,complementarity,0.0
Gemma 4 31B,complementarity,1.0
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.6
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,3.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.6
Gemma 4 31B,contrastive_explanation,2.6
Gemma 4 31B,contrastive_explanation,2.0
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,1.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.8
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.8
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,3.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.8
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,3.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.25
Gemma 4 31B,contrastive_explanation,2.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.6
Gemma 4 31B,contrastive_explanation,2.2
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.8
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,3.0
Gemma 4 31B,contrastive_explanation,2.2
Gemma 4 31B,contrastive_explanation,1.25
Gemma 4 31B,contrastive_explanation,2.0
Gemma 4 31B,contrastive_explanation,1.8
Gemma 4 31B,contrastive_explanation,1.6
Gemma 4 31B,contrastive_explanation,2.2
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,2.4
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.2
Gemma 4 31B,contrastive_explanation,2.8
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,1.0
Gemma 4 31B,contrastive_explanation,3.0
Gemma 4 31B,contrastive_explanation,2.2
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,1.2
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.8
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,1.8
Gemma 4 31B,draft_annotation,1.2
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.8
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,1.8
Gemma 4 31B,draft_annotation,1.2
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,1.4
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,1.4
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.8
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,draft_annotation,0.0
Gemma 4 31B,draft_annotation,1.0
Gemma 4 31B,draft_annotation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.8
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.8
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.8
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.8
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,1.8
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,1.2
Gemma 4 31B,skill_preservation,1.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.2
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.6
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.0
Gemma 4 31B,skill_preservation,2.4
Gemma 4 31B,skill_preservation,1.2
Gemma 4 31B,skill_preservation,1.6
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,1.6
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.8
Gemma 4 31B,uncertainty_transparency,1.4
Gemma 4 31B,uncertainty_transparency,0.4
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.6
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,1.4
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.6
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.6
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,1.4
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.6
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,1.4
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,1.8
Gemma 4 31B,uncertainty_transparency,0.2
Gemma 4 31B,uncertainty_transparency,0.6
Gemma 4 31B,uncertainty_transparency,2.0
Gemma 4 31B,uncertainty_transparency,1.4
Gemma 4 31B,uncertainty_transparency,0.0
Gemma 4 31B,uncertainty_transparency,0.2
Devstral-2 123B,cognitive_forcing,0.0
Devstral-2 123B,cognitive_forcing,0.0
